"Gene1","Gene2"
"CREB1","CREB1"
"NFATC4","NFATC4"
"CREB1","NKX6-2"
"NKX6-2","NKX6-2"
"GSX1","GSX1"
"RFX2","RFX2"
"CREB1","ZNF268"
"ZNF268","ZNF268"
"CREB1","CD1A"
"CREB1","TFRC"
"CREB1","TOM1"
"CREB1","GSK3B"
"NFATC4","GSK3B"
"RFX2","GSK3B"
"RFX3","GSK3B"
"CREB1","CBLIF"
"CREB1","ALAS2"
"RFX2","ALAS2"
"CREB1","GALR1"
"CREB1","GRPR"
"CREB1","CCL26"
"CREB1","GHRH"
"GSX1","GHRH"
"CREB1","PAH"
"CREB1","MRM3"
"RFX3","MAP1A"
"CREB1","GAP43"
"NFATC4","GAP43"
"CREB1","NRN1"
"CREB1","FKTN"
"CREB1","PBK"
"CREB1","PSENEN"
"NFATC4","B3GAT3"
"CREB1","TPT1"
"CREB1","CLDN11"
"NFATC4","MYOZ1"
"CREB1","FAM3B"
"CREB1","GABRA1"
"CREB1","IL5RA"
"RFX2","IL5RA"
"RFX3","IL5RA"
"ZNF268","UPF1"
"CREB1","KCNMA1"
"CREB1","ARMCX1"
"CREB1","MGAM"
"ZNF804A","MGAM"
"CREB1","SULT4A1"
"CREB1","OPALIN"
"CREB1","TIGAR"
"CREB1","CRTC1"
"NFATC4","CRTC1"
"CREB1","TIMM50"
"CREB1","FILIP1L"
"CREB1","CHAC1"
"CREB1","FZD6"
"CREB1","PDE4B"
"ZNF804A","PDE4B"
"ZNF804A","INHBE"
"CREB1","ADARB1"
"RFX3","ODF2"
"CREB1","LAPTM4B"
"CREB1","GSK3A"
"CREB1","SIK1"
"CREB1","PRSS12"
"CREB1","NEDD4L"
"SUPT3H","NEDD4L"
"CREB1","GEM"
"CREB1","DYRK1B"
"CREB1","SDS"
"CREB1","HCRTR2"
"CREB1","LGALS8"
"CREB1","NDC80"
"CREB1","NMNAT2"
"CREB1","RP1"
"CREB1","ASAH1"
"CREB1","AKAP8L"
"CREB1","ARPC3"
"CREB1","ATP6V0B"
"CREB1","ATP6V1C1"
"CREB1","CACNA1S"
"CREB1","CARS1"
"CREB1","CDK11A"
"CREB1","EXOSC6"
"CREB1","GABARAP"
"CREB1","GALNT1"
"CREB1","NDUFA4"
"CREB1","PITPNB"
"CREB1","SEC63"
"CREB1","SRPK2"
"CREB1","SRSF10"
"ZNF804A","NLGN4X"
"CREB1","COX8A"
"CREB1","MRPL49"
"CREB1","MRPS18B"
"CREB1","OXNAD1"
"CREB1","WARS2"
"ZNF804A","CLIC2"
"ZNF804A","PIK3AP1"
"CREB1","TRPC4"
"CREB1","PDE4D"
"CREB1","KCNC3"
"NFATC4","ADSS1"
"NFATC4","MYOZ2"
"CREB1","STING1"
"CREB1","hsa-miR-132"
