"Gene1","Gene2"
"PLAG1","PLAG1"
"ZNF148","ZNF148"
"MAX","MAX"
"MAX","YBX1"
"YBX1","YBX1"
"BRCA1","BRCA1"
"YBX1","MYCN"
"MYCN","MYCN"
"BRCA1","APEX1"
"MYCN","APEX1"
"APEX1","APEX1"
"BRCA1","ID4"
"ID4","ID4"
"ZNF350","ZNF350"
"ZBTB17","ZBTB17"
"MAX","MXI1"
"MYCN","MXI1"
"MXI1","MXI1"
"MAX","MNT"
"APEX1","MNT"
"MNT","MNT"
"ZBTB17","MXD4"
"NACC1","NACC1"
"BRCA1","LMO4"
"ZBTB17","HCFC1"
"THAP11","HCFC1"
"APEX1","HIRA"
"MYCN","PIAS2"
"ZBTB17","PIAS2"
"MAX","SIN3A"
"ZBTB17","SIN3A"
"FOXK2","SIN3A"
"ZBTB4","SIN3A"
"YBX1","RBBP8"
"ZNF350","RBBP8"
"ZBTB17","RBBP8"
"BRCA1","IGF1R"
"MYCN","IGF1R"
"ID4","IGF1R"
"ZNF148","ODC1"
"MAX","ODC1"
"MYCN","ODC1"
"ZBTB17","ODC1"
"MXI1","ODC1"
"MXD4","ODC1"
"THAP11","ODC1"
"MAX","CCNB1"
"YBX1","CCNB1"
"BRCA1","CCNB1"
"MXI1","CCNB1"
"STOX1","CCNB1"
"RBCK1","CCNB1"
"MAX","GADD45A"
"BRCA1","GADD45A"
"ZNF350","GADD45A"
"NACC1","GADD45A"
"YBX1","ERCC2"
"PLAG1","XRCC1"
"YBX1","XRCC1"
"APEX1","XRCC1"
"MAX","PTMA"
"ZBTB17","GABRA6"
"ZNF350","AQP1"
"ZBTB17","AQP1"
"ZBTB4","AQP1"
"BRCA1","HNRNPA2B1"
"BRCA1","BRCA2"
"HMG20B","BRCA2"
"APEX1","MPG"
"ZNF148","GHR"
"YBX1","GHR"
"YBX1","ABCC1"
"MYCN","ABCC1"
"MYCN","NTRK1"
"ZBTB17","NTRK1"
"APEX1","POLB"
"MYCN","PTK2"
"MAX","MYCT1"
"YBX1","CDC6"
"HCFC1","CDC6"
"RYBP","CDC6"
"APEX1","OSGEP"
"MAX","OPRK1"
"YBX1","UTS2R"
"ZNF148","ATM"
"BRCA1","ATM"
"RBBP8","ATM"
"MAX","NRP1"
"EMX1","NRP1"
"MXI1","GLMN"
"MNT","GLMN"
"MNT","RSPH1"
"YBX1","NOTCH4"
"MAX","CHI3L1"
"NACC1","AAR2"
"PLAG1","CRLF1"
"YBX1","MVP"
"APEX1","HAP1"
"MNT","HAP1"
"MYCN","BTC"
"MYCN","DDB1"
"PLAG1","ABCC6"
"ID4","ABCC6"
"MYCN","EFNB3"
"ZBTB17","SAE1"
"APEX1","LIG1"
"APEX1","LIG3"
"ID4","PRH1"
"MYCN","MCM4"
"BRCA1","MDC1"
"YBX1","PIK3CA"
"MYCN","DFFA"
"MAX","DDR2"
"MAX","TCEAL7"
"BRCA1","BARD1"
"APEX1","GFRA1"
"MAX","HNRNPU"
"ZNF148","EPB41"
"ZBTB4","COQ8A"
"MYCN","FZD7"
"ZBTB4","FZD7"
"ZBTB4","NCKAP1"
"ZBTB4","RPL41"
"ZBTB4","RPL7"
"ZBTB4","RPS15A"
"ZNF350","ATXN2"
"MYCN","XRCC2"
"MYCN","MRE11"
"MYCN","PTDSS1"
"MYCN","TP53INP1"
"YBX1","TOP2A"
"MYCN","SIRT2"
"YBX1","PABPC1"
"MYCN","LRRN3"
"ZBTB17","LRRN3"
"PIAS2","LRRN3"
"MXI1","IFT20"
"MYCN","ITPR2"
"BRCA1","RNASEL"
"MYCN","RCC1"
"MYCN","DUSP8"
"MYCN","MCM2"
"MYCN","PPP2R2C"
"MYCN","ICAM5"
"MYCN","UVRAG"
"MYCN","XRCC3"
"MYCN","OASL"
"MYCN","APBB3"
"MYCN","RGS14"
"MYCN","PTPRT"
"MYCN","PKIG"
"MYCN","AKAP10"
"MYCN","TREX2"
"MYCN","SRGAP2"
"MYCN","MRPS17"
"MYCN","FGFRL1"
"MYCN","SSH1"
"MYCN","ANO2"
"MYCN","SLC25A19"
"MYCN","MMS19"
"MYCN","CALN1"
"MYCN","SDR42E1"
"MYCN","SLC35A4"
"MYCN","ACOT4"
"BRCA1","KHSRP"
"HCFC1","MMACHC"
"HIRA","PLB1"
"MYCN","HDAC2"
"YBX1","ANAPC4"
"YBX1","CCNC"
"STOX1","CCNC"
"YBX1","CDKN3"
"ZBTB17","CAMK2N1"
"ZBTB17","VPS72"
"ZBTB17","TMEM11"
"ZNF148","RNLS"
"MAX","SERF2"
"MYCN","hsa-miR-183-5p"
"MAX","hsa-miR-22"
"MYCN","hsa-miR-22"
