"Gene1","Gene2"
"YY1","YY1"
"YY1","ZHX1"
"ZHX1","ZHX1"
"YY1","ACR"
"YY1","PARP1"
"YY1","PTPRA"
"YY1","GJB1"
"YY1","SURF1"
"YY1","SPTA1"
"YY1","CLC"
"YY1","H3C14"
"YY1","GAA"
"YY1","COX5B"
"YY1","FCGR2B"
"YY1","NDUFS8"
"YY1","CDKN2C"
"YY1","DEK"
"YY1","TDO2"
"BSX","AGRP"
"YY1","MT-ATP6"
"BSX","MT-ATP6"
"YY1","SYT11"
"YY1","ERCC5"
"YY1","LSS"
"YY1","DLG1"
"YY1","GDAP1"
"YY1","DONSON"
"YY1","ADORA2A"
"YY1","PEMT"
"YY1","SLC6A1"
"YY1","SLC46A1"
"YY1","COX7C"
"YY1","ALG12"
"YY1","APH1A"
"YY1","CACNA1C"
"YY1","RTCB"
"YY1","PSCA"
"YY1","PDIA6"
"YY1","SLAMF7"
"YY1","ATP5F1A"
"YY1","MANF"
"ATF6B","MANF"
"YY1","UBIAD1"
"YY1","SURF2"
"YY1","DENND2B"
"YY1","HGS"
"YY1","ATXN10"
"YY1","FCGR3B"
"ZNF140","FCGR3B"
"YY1","WDFY4"
"YY1","TNNI2"
"YY1","NARS1"
"YY1","ATP6V1A"
"YY1","DNM1"
"YY1","TLN2"
"YY1","AMELY"
"YY1","KIF14"
"YY1","SLC23A2"
"YY1","ACTR5"
"YY1","CCDC43"
"YY1","CDK5RAP2"
"YY1","COQ5"
"YY1","COQ9"
"YY1","CPSF2"
"YY1","HACD2"
"YY1","MRPL46"
"YY1","MRPS24"
"YY1","PAK4"
"YY1","RAB3GAP1"
"YY1","RNF26"
"YY1","RNF40"
"YY1","WDR82"
"YY1","ZNF615"
