"Gene1","Gene2"
"TFCP2","TFCP2"
"TFCP2","SRY"
"SRY","SRY"
"TFCP2","MECP2"
"TFCP2","GHRHR"
"SRY","GHRHR"
"CXXC1","GHRHR"
"TFCP2","CCNA1"
"CXXC1","CCNA1"
"TFCP2","MT1A"
"CXXC1","MT1A"
"NR3C2","SGK1"
"MECP2","SGK1"
"TFCP2","SPN"
"CXXC1","SPN"
"NR3C2","PGF"
"CARF","BDNF"
"NR3C2","BDNF"
"TFCP2","BDNF"
"CXXC1","BDNF"
"SOX11","BDNF"
"MECP2","BDNF"
"CREB3L2","BDNF"
"TFCP2","SNURF"
"NR3C2","ACE"
"SRY","ACE"
"CARF","CDKN2AIP"
"SRY","MAOA"
"TFCP2","SNRPN"
"SRY","CSNK1A1"
"NR3C2","CCR6"
"TFCP2","UQCRC1"
"SRY","COL4A2"
"TFCP2","UBE3A"
"TFCP2","PCBP1"
"TFCP2","PCBP3"
"TFCP2","SLC25A4"
"MECP2","SLC25A4"
"SOX11","SPAST"
"CREB3L2","SEC24C"
"CXXC1","YWHAG"
"MECP2","CDKL5"
"SRY","SGF29"
"NR3C2","MLLT3"
"SRY","SERBP1"
"TFCP2","SOCS5"
"SRY","CYP4V2"
"NR3C2","KCNN2"
"TFCP2","FGA"
"SRY","NWD1"
"SOX11","SETMAR"
"SOX11","DBN1"
"SOX11","HILPDA"
"MECP2","RBFOX1"
"SRY","MSH4"
"SRY","DAZ1"
"TFCP2","GART"
"MECP2","FXYD1"
"MECP2","PCDHB1"
"MECP2","PCDH7"
"TFCP2","hsa-miR-152"
