"Gene1","Gene2"
"GLI3","GLI3"
"FOXQ1","FOXQ1"
"GLI3","GLI1"
"FOXD1","GLI1"
"GLI1","GLI1"
"KDM5B","KDM5B"
"GLI1","BCOR"
"GLI3","MED12"
"GLI1","PRDM8"
"GLI1","GREM1"
"GLI1","CLCA1"
"GLI1","MUC5AC"
"GLI3","WNT7B"
"GLI1","ITIH3"
"GLI1","MAP3K12"
"FOXQ1","IGFBP6"
"GLI1","IGFBP6"
"TCF7L1","IGFBP6"
"GLI1","BMI1"
"KDM5B","BMI1"
"ZNF277","BMI1"
"BCOR","BMI1"
"GLI1","NTRK3"
"KDM5B","KDM4A"
"GLI1","DKK4"
"GLI1","SFRP2"
"GLI1","FKBP1A"
"GLI3","IFT88"
"GLI1","HAS2"
"KDM5B","MT1H"
"GLI3","TAS1R3"
"GLI1","CYLD"
"GLI1","SMOC2"
"GLI1","SUFU"
"GLI1","PRKCH"
"GLI1","H2AX"
"GLI1","PLXNA2"
"FOXQ1","NRXN3"
"FOXD1","EFNA5"
"GLI1","SCARA5"
"GLI1","FGF5"
"GLI1","MYO1E"
"FOXQ1","RSPO2"
"GLI1","IL1R2"
"GLI3","HIP1"
"GLI1","ARTN"
"GLI1","CAMK1D"
"GLI1","CCPG1"
"GLI1","CDC14A"
"KDM5B","CDC14A"
"GLI1","CNKSR1"
"GLI1","DARS2"
"GLI1","FA2H"
"GLI1","FBLIM1"
"GLI1","FMO1"
"GLI1","GATM"
"GLI1","GOSR1"
"GLI1","KANK1"
"GLI1","KIDINS220"
"GLI1","KREMEN1"
"GLI1","LGI2"
"GLI1","LHFPL6"
"GLI1","MCMBP"
"GLI1","MR1"
"GLI1","MTUS1"
"GLI1","MYO15A"
"GLI1","NPDC1"
"GLI1","PROKR1"
"GLI1","RASL11B"
"GLI1","RASSF8"
"GLI1","SH3GLB1"
"GLI1","SLITRK6"
"GLI1","SPAG9"
"GLI1","STXBP6"
"GLI1","SYNM"
"GLI1","TMEM69"
"GLI1","TST"
"GLI1","UCHL3"
"GLI1","SKIC8"
"GLI3","PTCH2"
"GLI1","PTCH2"
"KDM5B","ACTBL2"
"KDM5B","CALML5"
"KDM5B","DNAJB12"
"KDM5B","PALD1"
"GLI3","PITRM1"
"GLI3","TRPM5"
"GLI3","GNAT3"
"GLI3","GNA14"
"TCF7L1","ZIC5"
