"Gene1","Gene2"
"TBP","TBP"
"TBP","GTF2A1"
"TBP","ETS2"
"ETS2","ETS2"
"TBP","TAF1"
"GTF2A1","TAF1"
"ETS2","TAF1"
"ETS2","FLI1"
"FLI1","FLI1"
"KAT7","CREBBP"
"TBP","CREBBP"
"ETS2","CREBBP"
"JDP2","CREBBP"
"FLI1","CREBBP"
"TBP","RB1"
"TAF1","RB1"
"FLI1","RB1"
"RB1","RB1"
"GTF2A1","TBPL1"
"TBPL1","TBPL1"
"CREBBP","KAT5"
"KAT5","KAT5"
"TBP","TFAP4"
"TFAP4","TFAP4"
"TBP","TBPL2"
"CREBBP","VSX2"
"RB1","VSX2"
"VSX2","VSX2"
"KAT7","KAT2B"
"TBP","KAT2B"
"JDP2","KAT2B"
"TAF1","KAT2B"
"FLI1","KAT2B"
"RB1","KAT2B"
"CREBBP","PBRM1"
"TBP","ARID3B"
"TBP","FUS"
"RB1","VENTX"
"TBP","DRAP1"
"TBP","TAF5"
"KAT7","TRRAP"
"TBP","TRRAP"
"KAT5","TRRAP"
"KAT7","KAT2A"
"TAF1","KAT2A"
"KAT7","CCNA2"
"TBP","CCNA2"
"JDP2","CCNA2"
"TAF1","CCNA2"
"BATF2","CCNA2"
"KAT7","CDKN1A"
"TBP","CDKN1A"
"ETS2","CDKN1A"
"TAF1","CDKN1A"
"FLI1","CDKN1A"
"CREBBP","CDKN1A"
"RB1","CDKN1A"
"TBPL1","CDKN1A"
"KAT5","CDKN1A"
"TFAP4","CDKN1A"
"TBPL2","CDKN1A"
"KAT2B","CDKN1A"
"PBRM1","CDKN1A"
"ZBTB5","CDKN1A"
"VENTX","CDKN1A"
"ZBTB8B","CDKN1A"
"TAF5","CDKN1A"
"ZBTB8A","CDKN1A"
"TBP","POLI"
"JDP2","POLI"
"TAF1","POLI"
"TBPL1","POLI"
"TBPL2","POLI"
"KAT7","MAPK8"
"TBP","MAPK8"
"ETS2","MAPK8"
"TFAP4","MAPK8"
"TBPL2","MAPK8"
"VSX2","MAPK8"
"ARID3B","MAPK8"
"ETS2","MDM2"
"TAF1","MDM2"
"FLI1","MDM2"
"TFAP4","MDM2"
"FUS","MDM2"
"TBP","NF1"
"ETS2","NF1"
"TBPL1","NF1"
"TFAP4","NF1"
"TBP","LGALS1"
"JDP2","LGALS1"
"KAT7","TAT"
"TBP","TAT"
"TAF1","TAT"
"KAT5","TAT"
"TBP","AGTR2"
"CREBBP","ERCC1"
"KAT5","ERCC1"
"KAT7","CD4"
"ETS2","CD4"
"KAT5","CD4"
"TFAP4","CD4"
"TBP","EGFR"
"ETS2","EGFR"
"TAF1","EGFR"
"CREBBP","EGFR"
"KAT7","APP"
"TBP","APP"
"ETS2","APP"
"TFAP4","APP"
"CNOT4","APP"
"KAT7","HMOX1"
"TBP","HMOX1"
"ETS2","HMOX1"
"TAF1","HMOX1"
"FLI1","HMOX1"
"KAT7","IGFBP7"
"TBP","IGFBP7"
"JDP2","IGFBP7"
"TAF1","IGFBP7"
"FLI1","CCK"
"CREBBP","CCK"
"KAT7","CARM1"
"JDP2","CARM1"
"VSX2","CARM1"
"TBP","TAF7"
"TAF1","TAF7"
"TBPL1","TAF7"
"KAT7","OGA"
"KAT5","OGA"
"KAT5","SLC3A2"
"TBP","PAM"
"TBPL1","PAM"
"TBPL2","PAM"
"TBP","BRF2"
"TBP","TAF10"
"KAT7","DRD2"
"TAF1","DRD2"
"TBP","H1-2"
"TBPL1","H1-2"
"KAT7","KRT8"
"ETS2","KRT8"
"TBPL1","SLC3A1"
"TBP","AFM"
"TBPL2","AFM"
"KAT7","HAT1"
"TAF1","HAT1"
"TBP","MAPK9"
"VSX2","MAPK9"
"ARID3B","MAPK9"
"KAT7","S100A4"
"CREBBP","S100A4"
"TBP","MED21"
"JDP2","APEH"
"TBP","BDP1"
"TBPL1","TRPV4"
"TBP","TENT4A"
"ARID3B","TENT4A"
"KAT7","PPP2R5C"
"KAT5","PPP2R5C"
"TBPL1","POT1"
"KAT5","DNTTIP2"
"TBPL1","TINF2"
"TBP","KRT36"
"KAT5","CLASP1"
"TBPL1","TAF7L"
"TBP","TAF1C"
"TBP","RNASE1"
"TAF1","LRIG2"
"PBRM1","S100A13"
"FLI1","hsa-miR-708"
