"Gene1","Gene2"
"SP3","SP3"
"SP3","ZNF143"
"SP3","MYBL2"
"MYBL2","MYBL2"
"KLF5","KLF5"
"ZNF143","ZNF76"
"KLF5","SOX17"
"SOX17","SOX17"
"SP3","HOXB7"
"NONO","NONO"
"MYBL2","ADRA1D"
"SOX17","ADRA1D"
"SCX","ADRA1D"
"SP3","CYP17A1"
"SOX17","CYP17A1"
"NONO","CYP17A1"
"SP3","REG1A"
"KLF5","REG1A"
"SP3","PCYT1A"
"ZNF143","PCYT1A"
"ZNF76","PCYT1A"
"SP3","PDGFA"
"KLF5","PDGFA"
"HOXB7","PDGFA"
"SP3","TUBB3"
"SOX17","TUBB3"
"KLF5","MYH10"
"HOXB7","MYH10"
"SP3","COL2A1"
"SOX17","COL2A1"
"NONO","COL2A1"
"SCX","COL2A1"
"SP3","FGF4"
"ZNF143","FGF4"
"MYBL2","FGF4"
"SOX17","FGF4"
"SP3","COL1A1"
"MYBL2","COL1A1"
"SCX","COL1A1"
"ZNF143","TCP1"
"ZNF76","TCP1"
"SOX17","SLURP1"
"SP3","F10"
"SP3","GJA1"
"MYBL2","GJA1"
"NONO","GJA1"
"SP3","NES"
"SOX17","NES"
"POU3F3","NES"
"SP3","BIRC5"
"MYBL2","BIRC5"
"KLF5","BIRC5"
"NONO","BIRC5"
"SP3","LIPH"
"MYBL2","ZNF622"
"SP3","PPP1CC"
"SP3","EDF1"
"MYBL2","DYM"
"KLF5","DYM"
"ZNF143","TPP1"
"SP3","LAMA1"
"KLF5","LAMA1"
"SOX17","LAMA1"
"ZNF143","TALDO1"
"ZNF76","TALDO1"
"SP3","ABCG2"
"KLF5","ABCG2"
"SP3","SLC2A3"
"SP3","FKBP1B"
"SCX","DAB1"
"KLF5","ANP32B"
"SP3","SLC9A8"
"SP3","NEU2"
"SP3","AFAP1L1"
"SP3","TXLNG"
"SP3","IFITM5"
"ZNF143","PTPN5"
"ZNF143","POLR2A"
"ZNF143","EEFSEC"
"SP3","RRAS"
"ZNF143","ESCO2"
"MYBL2","PSG1"
"SP3","ETF1"
"ZNF76","TCP11"
"SP3","SCGB2A1"
