"Gene1","Gene2"
"GATA3","GATA3"
"KAT6B","KAT6B"
"GATA3","ZC3H8"
"MTA1","MTA1"
"KDM5D","KDM5D"
"GATA3","ZNF217"
"MTA1","MTA3"
"ZNF217","MTA3"
"MTA3","MTA3"
"GATA3","ARID5B"
"KDM5D","BBX"
"BBX","BBX"
"GATA3","ZNF503"
"ZNF503","ZNF503"
"GATA3","ATP2B1"
"KDM5D","ECE1"
"GATA3","CD5"
"GATA3","NRCAM"
"GATA3","PAEP"
"MTA1","COP1"
"KDM5D","COP1"
"MTA1","BLOC1S1"
"GATA3","RHOH"
"POU2F3","RHOH"
"POU2F3","MX1"
"CREB5","MX1"
"MTA1","ITGB3BP"
"GATA3","KLRC1"
"GATA3","IL1RL1"
"GATA3","BCAS3"
"MTA1","BCAS3"
"MTA3","BCAS3"
"GATA3","LCN8"
"GATA3","FUT7"
"MTA1","SENP1"
"POU2F3","MMP19"
"GATA3","WASF1"
"GATA3","DUSP16"
"GATA3","SMARCA2"
"KAT6B","SMARCA2"
"KAT6A","SMARCA2"
"KAT8","SMARCA2"
"GATA3","WTAP"
"MTA1","HMMR"
"GATA3","CHST2"
"GATA3","KLK1"
"GATA3","TLR5"
"GATA3","MBNL2"
"GATA3","TGFBR3"
"CREB5","TGFBR3"
"MTA1","SUMO2"
"GATA3","APBA1"
"MTA1","RNF144A"
"GATA3","CHST4"
"GATA3","RAPGEF3"
"KAT6B","KDM1B"
"GATA3","CCL27"
"GATA3","SLCO4C1"
"GATA3","RBMS1"
"KAT6A","BRPF1"
"ARID5B","PHF2"
"GATA3","TRDV1"
"GATA3","GPR162"
"GATA3","ATOX1"
"GATA3","SEPTIN7"
"GATA3","CTNNA2"
"GATA3","GRM7"
"GATA3","ITPK1"
"GATA3","MYH3"
"GATA3","PDE3A"
"GATA3","PDGFRL"
"GATA3","RING1"
"GATA3","SNAPC1"
"GATA3","SVIL"
"GATA3","TPTE"
"GATA3","CLIC3"
"GATA3","ZW10"
"GATA3","VGLL4"
"GATA3","UST"
"GATA3","BLCAP"
"GATA3","ZNF507"
"GATA3","SPART"
"GATA3","PPIL2"
"GATA3","MYRIP"
"GATA3","PDE7B"
"GATA3","PACSIN1"
"GATA3","GCNT4"
"GATA3","DNAJC17"
"GATA3","GALNT10"
"GATA3","SLC24A3"
"GATA3","FNDC3B"
"GATA3","LRRC61"
"GATA3","SPEF2"
"GATA3","FBXO11"
"GATA3","TMPRSS5"
"GATA3","NETO1"
"GATA3","LRMDA"
"GATA3","RTN4IP1"
"GATA3","BPIFB1"
"GATA3","XKR3"
"GATA3","FAM169BP"
"GATA3","ST8SIA6"
"CREB5","ATP6V0E1"
"CREB5","DGKG"
"CREB5","MAPKAPK3"
"CREB5","RASGRP3"
"CREB5","RDX"
"GATA3","IL12RB2"
"MTA1","MNAT1"
"GATA3","ACTR6"
"MTA3","ACTR6"
"GATA3","AURKAIP1"
"MTA3","AURKAIP1"
"GATA3","POLR1F"
"MTA3","POLR1F"
"GATA3","VAPB"
"MTA1","hsa-miR-661"
