"Gene1","Gene2"
"HBP1","HBP1"
"AHR","AHR"
"AHR","NR3C1"
"NR3C1","NR3C1"
"HBP1","MYB"
"NR3C1","MYB"
"MYB","MYB"
"NR3C1","NR4A1"
"HMGA1","HMGA1"
"NR3C1","CEBPD"
"CEBPD","CEBPD"
"NR3C1","NR4A3"
"NR4A1","NR4A3"
"NR4A3","NR4A3"
"MYB","SSRP1"
"NR3C1","NR4A2"
"BTAF1","NR4A2"
"NR4A2","NR4A2"
"SSRP1","EGR3"
"NR4A1","HDAC9"
"KLF6","LCOR"
"HBP1","CCND1"
"AHR","CCND1"
"NR3C1","CCND1"
"MYB","CCND1"
"NR4A1","CCND1"
"HMGA1","CCND1"
"CEBPD","CCND1"
"NR4A3","CCND1"
"SSRP1","CCND1"
"KLF6","CCND1"
"RNF14","CCND1"
"AHR","IGF1"
"MYB","IGF1"
"NR4A1","IGF1"
"HMGA1","IGF1"
"CEBPD","IGF1"
"SSRP1","IGF1"
"KLF6","IGF1"
"HBP1","FASLG"
"AHR","FASLG"
"NR3C1","FASLG"
"NR4A1","FASLG"
"SSRP1","FASLG"
"EGR3","FASLG"
"HBP1","BAX"
"AHR","BAX"
"NR3C1","BAX"
"HMGA1","BAX"
"NR4A3","BAX"
"NR4A2","BAX"
"PPP1R13L","BAX"
"AHR","LPL"
"NR3C1","LPL"
"HDAC9","LPL"
"AHR","PRL"
"NR3C1","PRL"
"NR4A1","PRL"
"CEBPD","PRL"
"SSRP1","PRL"
"EGR3","PRL"
"HDAC9","PRL"
"NR3C1","POMC"
"NR4A1","POMC"
"NR4A3","POMC"
"NR4A2","POMC"
"AHR","ALB"
"CEBPD","ALB"
"SSRP1","ALB"
"KLF6","ALB"
"HBP1","IL1B"
"AHR","IL1B"
"NR3C1","IL1B"
"NR4A1","IL1B"
"HMGA1","IL1B"
"CEBPD","IL1B"
"NR4A3","IL1B"
"SSRP1","IL1B"
"AHR","IGFBP1"
"NR3C1","IGFBP1"
"HDAC9","IGFBP1"
"AHR","TF"
"CEBPD","TF"
"AHR","TNFRSF11A"
"NR3C1","TNFRSF11A"
"SSRP1","TNFRSF11A"
"AHR","BTK"
"HMGA1","BTK"
"NR4A3","BTK"
"EGR3","BTK"
"AHR","CSF2"
"NR3C1","CSF2"
"MYB","CSF2"
"HMGA1","CSF2"
"CEBPD","CSF2"
"NR4A3","CSF2"
"EGR3","CSF2"
"AHR","GH1"
"NR3C1","GH1"
"CEBPD","GH1"
"ZNF292","GH1"
"AHR","CYP19A1"
"NR3C1","CYP19A1"
"NR4A1","CYP19A1"
"CEBPD","CYP19A1"
"NR4A3","CYP19A1"
"SSRP1","CYP19A1"
"NR4A2","CYP19A1"
"EGR3","CYP19A1"
"AHR","SPP1"
"NR3C1","SPP1"
"MYB","SPP1"
"NR4A2","SPP1"
"HBP1","NFKBIA"
"NR3C1","NFKBIA"
"NR4A1","NFKBIA"
"SSRP1","NFKBIA"
"KLF6","NFKBIA"
"PARP10","NFKBIA"
"AHR","UGT1A1"
"NR3C1","UGT1A1"
"MYB","UGT1A1"
"TBX4","UGT1A1"
"AHR","CTSD"
"MYB","CTSD"
"SSRP1","SPP2"
"NR4A1","ADCYAP1"
"NR4A3","ADCYAP1"
"KLF6","ADCYAP1"
"AHR","CTSG"
"MYB","CTSG"
"SSRP1","CTSG"
"KLF6","CTSG"
"NR3C1","MMP3"
"NR4A2","MMP3"
"AHR","MMP9"
"NR3C1","MMP9"
"NR4A1","MMP9"
"HMGA1","MMP9"
"SSRP1","MMP9"
"NR4A2","MMP9"
"KLF6","MMP9"
"AHR","GSTM1"
"MYB","GSTM1"
"HMGA1","GSTM1"
"MYB","KITLG"
"HMGA1","KITLG"
"AHR","PPIG"
"NR3C1","PPIG"
"MYB","PPIG"
"TBX4","PPIG"
"NR3C1","CSF1R"
"CEBPD","CSF1R"
"EGR3","IGBP1"
"MYB","GNG3"
"TBX4","GNG3"
"SSRP1","GABRA4"
"EGR3","GABRA4"
"NR3C1","GCH1"
"NR4A1","GCH1"
"NR4A2","GCH1"
"NR4A3","AK5"
"HBP1","NCF1"
"AHR","NCF1"
"CEBPD","CDC27"
"MYB","RPL4"
"NR3C1","SLC2A5"
"KLF6","PSG3"
"MYB","MYADM"
"NR3C1","NAT2"
"MYB","ERBIN"
"KLF6","MDGA2"
"NR3C1","IP6K3"
"SSRP1","RRN3"
"MYB","STK17B"
"MYB","RALBP1"
"NR3C1","RPS6KA5"
"NR3C1","LRRK2"
"AHR","VIT"
"NR4A1","CNTFR"
"NR3C1","SFTPA1"
"MYB","SFTPA1"
"CEBPD","SFTPA1"
"MYB","CDO1"
"NR4A1","RNF7"
"AHR","ABCC5"
"AHR","UBE2L3"
"CEBPD","SH3PXD2B"
"HBP1","H1-0"
"MYB","SLAMF1"
"NR3C1","DHRS9"
"NR3C1","ART3"
